"id","nome","url_feed","descricao","ativo","criado_em","atualizado_em"
113,Feed Google News - PORTAL REVISTA FÓRUM,https://news.google.com/rss/search?q=site:https://revistaforum.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL REVISTA FÓRUM,1,"2025-03-23 20:48:14","2025-03-23 21:30:59"
114,Feed Google News - PORTAL 247,https://news.google.com/rss/search?q=site:https://www.brasil247.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL 247,1,"2025-03-23 20:48:16","2025-03-23 21:30:59"
115,Feed Google News - PORTAL BARÃO DE ITARARÉ,https://news.google.com/rss/search?q=site:https://baraodeitarare.org.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL BARÃO DE ITARARÉ,1,"2025-03-23 20:48:17","2025-03-23 21:30:59"
116,Feed Google News - PORTAL WEB TV JFDIARIO,https://news.google.com/rss/search?q=site:https://webtvjfdiario.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL WEB TV JFDIARIO,1,"2025-03-23 20:48:19","2025-03-23 21:30:59"
117,Feed Google News - PORTAL ACESSE PIAUÍ,https://news.google.com/rss/search?q=site:https://www.acessepiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL ACESSE PIAUÍ,1,"2025-03-23 20:48:20","2025-03-23 21:30:59"
118,Feed Google News - PORTAL DO ÁGUIA,https://news.google.com/rss/search?q=site:https://www.portaldoaguia.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL DO ÁGUIA,1,"2025-03-23 20:48:22","2025-03-23 21:30:59"
119,Feed Google News - PORTAL DUSCOCAIS,https://news.google.com/rss/search?q=site:https://duscocais.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL DUSCOCAIS,1,"2025-03-23 20:48:23","2025-03-23 21:30:59"
120,Feed Google News - PORTAL NORTE PIAUÍ,https://news.google.com/rss/search?q=site:https://nortepiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL NORTE PIAUÍ,1,"2025-03-23 20:48:25","2025-03-23 21:30:59"
121,Feed Google News - PORTAL O POVO,https://news.google.com/rss/search?q=site:https://www.opovo.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL O POVO,1,"2025-03-23 20:48:26","2025-03-23 21:30:59"
122,Feed Google News - PORTAL VENENO,https://news.google.com/rss/search?q=site:https://portalveneno.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL VENENO,1,"2025-03-23 20:48:27","2025-03-23 21:30:59"
123,Feed Google News - PORTAL CONJUNTURA POLÍTICA,https://news.google.com/rss/search?q=site:https://www.conjunturapolitica.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CONJUNTURA POLÍTICA,1,"2025-03-23 20:48:29","2025-03-23 21:31:05"
124,Feed Google News - PORTAL FOLHA ATUAL,https://news.google.com/rss/search?q=site:https://folhaatual.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOLHA ATUAL,1,"2025-03-23 20:48:30","2025-03-23 21:31:05"
125,Feed Google News - PORTAL OPINIÃO E NOTÍCIA,https://news.google.com/rss/search?q=site:https://portalopiniaoenoticia.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL OPINIÃO E NOTÍCIA,1,"2025-03-23 20:48:32","2025-03-23 21:31:05"
126,Feed Google News - PORTAL ENE1,https://news.google.com/rss/search?q=site:https://www.ene1.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL ENE1,1,"2025-03-23 20:48:33","2025-03-23 21:31:05"
127,Feed Google News - PORTAL BAIXA GRANDE NEWS,https://news.google.com/rss/search?q=site:https://baixagrandenews.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL BAIXA GRANDE NEWS,1,"2025-03-23 20:48:35","2025-03-23 21:31:05"
128,Feed Google News - PORTAL PIAUÍ EM FOCO,https://news.google.com/rss/search?q=site:https://www.piauiemfoco.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ EM FOCO,1,"2025-03-23 20:48:36","2025-03-23 21:31:05"
129,Feed Google News - PORTAL TV LITORAL PIAUÍ,https://news.google.com/rss/search?q=site:https://www.tvlitoralpiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL TV LITORAL PIAUÍ,1,"2025-03-23 20:48:38","2025-03-23 21:31:05"
130,Feed Google News - PORTAL PONTUA PIAUÍ,https://news.google.com/rss/search?q=site:https://pidigital.pi.gov.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PONTUA PIAUÍ,1,"2025-03-23 20:48:39","2025-03-23 21:31:05"
131,Feed Google News - PORTAL BUSCA PIAUÍ,https://news.google.com/rss/search?q=site:https://www.pi.gov.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL BUSCA PIAUÍ,1,"2025-03-23 20:48:41","2025-03-23 21:31:05"
132,Feed Google News - PORTAL RAPADURA NEWS,https://news.google.com/rss/search?q=site:https://www.rapaduranews.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RAPADURA NEWS,1,"2025-03-23 20:48:42","2025-03-23 21:31:05"
133,Feed Google News - PORTAL MEU PIAUÍ,https://news.google.com/rss/search?q=site:https://meupiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL MEU PIAUÍ,1,"2025-03-23 20:48:43","2025-03-23 21:31:11"
134,Feed Google News - PORTAL ALÔ PIAUÍ,https://news.google.com/rss/search?q=site:https://alopiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL ALÔ PIAUÍ,1,"2025-03-23 20:48:45","2025-03-23 21:31:11"
135,Feed Google News - PORTAL BENEDITINOS AGORA,https://news.google.com/rss/search?q=site:https://beneditinosagora.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL BENEDITINOS AGORA,1,"2025-03-23 20:48:46","2025-03-23 21:31:11"
136,Feed Google News - PORTAL BLOG DO FLÁVIO CRISTO,https://news.google.com/rss/search?q=site:https://blogdoflaviocristo.blogspot.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL BLOG DO FLÁVIO CRISTO,1,"2025-03-23 20:48:48","2025-03-23 21:31:11"
137,Feed Google News - PORTAL CAMPO MAIOR EM FOCO,https://news.google.com/rss/search?q=site:https://www.campomaioremfoco.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CAMPO MAIOR EM FOCO,1,"2025-03-23 20:48:49","2025-03-23 21:31:11"
